id,key,value,type
5070021,name,Rue du Conseil-Général,regular
5070213,electrified,contact_line,regular
5070213,frequency,0,regular
5070213,gauge,1000,regular
5070213,highway,tertiary,regular
5070213,name,Place de Neuve,regular
5070213,oneway,yes,regular
5070213,railway,tram,regular
5070213,trolley_wire,yes,regular
5070213,voltage,600,regular
5070214,highway,tertiary,regular
5070214,lanes,4,regular
5070214,name,Rue de l'Athénée,regular
5070215,left,lane,cycleway
5070215,highway,tertiary,regular
5070215,lanes,3,regular
5070215,name,Boulevard Emile-Jaques-Dalcroze,regular
5070215,trolley_wire,yes,regular
5070216,highway,primary,regular
5070216,lanes,3,regular
5070216,name,Boulevard de la Tour,regular
5070216,oneway,yes,regular
5070218,access,no,regular
5070218,highway,service,regular
5070218,name,Rue de la Terrassière,regular
5070218,psv,yes,regular
5070219,highway,secondary,regular
5070219,lanes,4,regular
5070219,maxspeed,50,regular
5070219,name,Avenue Pictet-de-Rochemont,regular
5070219,ref,102,regular
5070220,highway,secondary,regular
5070220,lanes,2,regular
5070220,lit,yes,regular
5070220,name,Route de Frontenex,regular
5070220,oneway,yes,regular
5070220,ref,116,regular
5070221,highway,unclassified,regular
5070221,lanes,3,regular
5070221,backward,1,lanes
5070221,forward,2,lanes
5070221,name,Rue Ferdinand-Hodler,regular
5070222,access,destination,regular
5070222,bicycle,yes,regular
5070222,electrified,contact_line,regular
5070222,frequency,0,regular
5070222,gauge,1000,regular
5070222,highway,unclassified,regular
5070222,motor_vehicle,designated,regular
5070222,name,Rue de la Corraterie,regular
5070222,oneway,yes,regular
5070222,railway,tram,regular
5070222,trolley_wire,yes,regular
5070222,voltage,600,regular
5070224,bicycle,no,regular
5070224,highway,pedestrian,regular
5070224,name,Rue du Marché (les Rues Basses),regular
5070224,official_name,Rue du Marché,regular
5070224,oneway,no,regular
5070224,psv,yes,regular
5070224,trolley_wire,yes,regular
5070227,bicycle,no,regular
5070227,highway,pedestrian,regular
5070227,name,Rue de la Croix-d'Or (les Rues Basses),regular
5070227,official_name,Rue de la Croix-d'Or,regular
5070227,oneway,no,regular
5070227,psv,yes,regular
5070227,trolley_wire,yes,regular
5070228,bicycle,yes,regular
5070228,highway,pedestrian,regular
5070228,lit,yes,regular
5070228,name,Rue de la Monnaie,regular
5070228,segregated,no,regular
5070229,cycleway,opposite,regular
5070229,highway,living_street,regular
5070229,maxspeed,20,regular
5070229,name,Grand-Rue,regular
5070229,oneway,yes,regular
5070230,cycleway,opposite,regular
5070230,highway,living_street,regular
5070230,maxspeed,20,regular
5070230,name,Rue de l'Hôtel-de-Ville,regular
5070230,oneway,yes,regular
5070233,bridge,yes,regular
5070233,highway,living_street,regular
5070233,layer,1,regular
5070233,maxspeed,20,regular
5070233,name,Rue Charles-Galland,regular
5070233,oneway,yes,regular
5070377,highway,tertiary,regular
5070377,name,Place des Eaux-Vives,regular
5070377,trolley_wire,yes,regular
5070381,cycleway,lane,regular
5070381,highway,secondary,regular
5070381,lanes,3,regular
5070381,name,Boulevard des Tranchées,regular
5070381,oneway,yes,regular
5070393,highway,primary,regular
5070393,lanes,4,regular
5070393,name,Boulevard des Philosophes,regular
5070393,oneway,yes,regular
5070396,highway,secondary,regular
5070396,lanes,2,regular
5070396,name,Rue de Contamines,regular
5070396,oneway,yes,regular
5070399,left,share_busway,cycleway
5070399,right,lane,cycleway
5070399,highway,secondary,regular
5070399,lanes,5,regular
5070399,psv:backward,1,lanes
5070399,psv:forward,1,lanes
5070399,maxspeed,50,regular
5070399,name,Rue de Sous-Terre,regular
5070400,right,lane,cycleway
5070400,highway,secondary,regular
5070400,lanes,4,regular
5070400,maxspeed,50,regular
5070400,name,Rue de Saint-Jean,regular
5070400,trolley_wire,yes,regular
5070402,left,opposite_lane,busway
5070402,left,share_busway,cycleway
5070402,highway,tertiary,regular
5070402,lanes,2,regular
5070402,name,Rue des Délices,regular
5070402,oneway,yes,regular
5070402,bicycle,no,oneway
5073076,cycleway,lane,regular
5073076,highway,unclassified,regular
5073076,name,Rond-Point de Plainpalais,regular
5073076,oneway,yes,regular
5073077,highway,residential,regular
5073077,name,Rue Saint-Léger,regular
5073077,oneway,yes,regular
5073078,leisure,park,regular
5073078,name,Parc des Bastions,regular
5073084,left,lane,cycleway
5073084,right,share_busway,cycleway
5073084,highway,primary,regular
5073084,lit,yes,regular
5073084,name,Rue de Chantepoulet,regular
5073084,ref,101,regular
5073084,trolley_wire,yes,regular
5073140,highway,residential,regular
5073140,name,Rue des Bains,regular
5073142,highway,residential,regular
5073142,name,Rue des Maraîchers,regular
5073145,highway,residential,regular
5073145,name,Boulevard d'Yvoy,regular
5073146,highway,residential,regular
5073146,name,Rue Bergalonne,regular
5073146,oneway,yes,regular
5073147,highway,residential,regular
5073147,name,Rue du Colonel-Coutau,regular
5073147,oneway,yes,regular
5073148,cycleway,opposite,regular
5073148,highway,residential,regular
5073148,name,Rue des Savoises,regular
5073148,oneway,yes,regular
5073151,cycleway,opposite_lane,regular
5073151,highway,residential,regular
5073151,name,Rue Rousseau,regular
5073151,oneway,yes,regular
5073152,highway,residential,regular
5073152,name,Rue du Cendrier,regular
5073152,oneway,yes,regular
5073153,cycleway,opposite,regular
5073153,highway,residential,regular
5073153,name,Rue des Etuves,regular
5073153,oneway,yes,regular
5073154,cycleway,opposite_lane,regular
5073154,highway,residential,regular
5073154,name,Rue De-Grenus,regular
5073154,oneway,yes,regular
5073155,highway,primary,regular
5073155,lanes,3,regular
5073155,name,Rue du Temple,regular
5073155,trolley_wire,yes,regular
5106481,highway,living_street,regular
5106481,maxspeed,20,regular
5106481,name,Rampe de la Treille,regular
5106481,oneway,yes,regular
5106482,highway,pedestrian,regular
5106482,name,Rue du Perron,regular
5106482,surface,paved,regular
5106514,bicycle,yes,regular
5106514,highway,pedestrian,regular
5106514,name,Rue du Soleil-Levant,regular
5106515,highway,living_street,regular
5106515,name,Rue Guillaume-Farel,regular
5106515,oneway,yes,regular
5106525,highway,living_street,regular
5106525,maxspeed,20,regular
5106525,name,Rue de la Tertasse,regular
5106525,oneway,yes,regular
5106538,cycleway,opposite,regular
5106538,highway,living_street,regular
5106538,maxspeed,20,regular
5106538,name,Rue des Granges,regular
5106538,oneway,yes,regular
5106541,highway,pedestrian,regular
5106560,highway,footway,regular
5106598,bridge,yes,regular
5106598,highway,footway,regular
5106598,layer,1,regular
5106600,highway,footway,regular
5130771,highway,secondary,regular
5130771,lanes,3,regular
5130771,name,Rue du Grand-Pré,regular
5130785,highway,living_street,regular
5130785,motor_vehicle,no,regular
5130785,name,Place de Cornavin,regular
5130785,oneway,yes,regular
5130785,psv,yes,regular
5130788,right,lane,cycleway
5130788,highway,secondary,regular
5130788,lanes,3,regular
5130788,name,Place de Cornavin,regular
5130810,left,lane,cycleway
5130810,highway,secondary,regular
5130810,lanes,3,regular
5130810,name,Rue du Fort-Barreau,regular
5130838,highway,residential,regular
5130838,maxspeed,30,regular
5130838,name,Rue Vautier,regular
5130838,oneway,yes,regular
5130852,cycleway,opposite,regular
5130852,highway,living_street,regular
5130852,maxspeed,20,regular
5130852,name,Place du Grand-Mézel,regular
5130852,oneway,yes,regular
5156171,cycleway,opposite_share_busway,regular
5156171,highway,tertiary,regular
5156171,lanes,3,regular
5156171,psv:backward,1,lanes
5156171,lit,yes,regular
5156171,name,Rue Bovy-Lysberg,regular
5156171,oneway,yes,regular
5156171,trolley_wire,yes,regular
5156173,cycleway,opposite_lane,regular
5156173,highway,residential,regular
5156173,lit,yes,regular
5156173,name,Rue de la Synagogue,regular
5156173,oneway,yes,regular
5156174,highway,residential,regular
5156174,lit,yes,regular
5156174,name,Boulevard du Théâtre,regular
5156174,oneway,yes,regular
5156174,trolley_wire,yes,regular
5156175,highway,residential,regular
5156175,name,Rue de Hesse,regular
5156176,highway,residential,regular
5156176,name,Rue François-Diday,regular
5156176,oneway,yes,regular
5156176,trolley_wire,yes,regular
5156177,left,share_busway,cycleway
5156177,right,lane,cycleway
5156177,highway,residential,regular
5156177,lit,yes,regular
5156177,name,Rue du Grütli,regular
5156177,oneway,yes,regular
5156177,bicycle,no,oneway
5156177,trolley_wire,yes,regular
5156178,highway,residential,regular
5156178,name,Rue Jean-Petitot,regular
5156178,oneway,yes,regular
5156219,highway,primary,regular
5156219,lanes,5,regular
5156219,lit,yes,regular
5156219,name,Quai du Général-Guisan,regular
5156219,oneway,yes,regular
5156219,ref,102,regular
5156219,trolley_wire,yes,regular
5156220,highway,unclassified,regular
5156220,name,Quai du Général-Guisan,regular
5156220,oneway,yes,regular
5156221,highway,living_street,regular
5156221,maxspeed,20,regular
5156221,name,Rue du Purgatoire,regular
5156222,highway,unclassified,regular
5156222,name,Rue du Vieux-Collège,regular
5156310,highway,living_street,regular
5156310,name,Rue Otto-Barblanc,regular
5156310,oneway,yes,regular
5156311,highway,footway,regular
5156312,bicycle,yes,regular
5156312,highway,pedestrian,regular
5156312,name,Rue du Cloître,regular
5156313,leisure,park,regular
5156314,highway,living_street,regular
5156314,maxspeed,20,regular
5156314,name,Rue René-Louis-Piachaud,regular
5156314,oneway,yes,regular
5156315,highway,living_street,regular
5156315,maxspeed,20,regular
5156315,name,Rue Chausse-Coq,regular
5156315,oneway,yes,regular
