id,user,uid,version,changeset,timestamp
5106600,Marc Mongenet,74847,2,5737071,2010-09-09T22:22:57Z
5130771,MFlamm,617875,19,21712301,2014-04-15T16:01:40Z
5130785,Marc Mongenet,74847,16,36393709,2016-01-05T23:48:00Z
5130788,Marc Mongenet,74847,12,36393709,2016-01-05T23:48:00Z
5130810,MFlamm,617875,12,21712301,2014-04-15T16:01:40Z
5130838,MFlamm,617875,14,30697986,2015-05-01T17:16:28Z
5130852,MFlamm,617875,6,22080818,2014-05-02T10:02:52Z
5156171,MFlamm,617875,15,30929628,2015-05-09T07:54:31Z
5156173,Marc Mongenet,74847,11,36224944,2015-12-28T17:26:06Z
5156174,Marc Mongenet,74847,9,36303445,2016-01-01T18:24:40Z
5156175,Marc Mongenet,74847,5,36224944,2015-12-28T17:26:05Z
5156176,Marc Mongenet,74847,12,36488236,2016-01-10T18:06:20Z
5156177,Marc Mongenet,74847,11,36303445,2016-01-01T18:24:44Z
5156178,MFlamm,617875,9,22080818,2014-05-02T10:02:53Z
5156219,MFlamm,617875,18,22147841,2014-05-05T14:28:12Z
5156220,x-pab,120583,13,14889774,2013-02-02T22:36:28Z
5156221,Marc Mongenet,74847,6,36275360,2015-12-31T03:26:39Z
5156222,bergamote,199791,4,3721091,2010-01-26T16:55:51Z
5156310,x-pab,120583,8,15122966,2013-02-22T12:47:43Z
5156311,x-pab,120583,6,15089360,2013-02-19T13:01:55Z
5156312,MFlamm,617875,5,22085808,2014-05-02T14:10:22Z
5156313,x-pab,120583,7,15138862,2013-02-23T17:50:59Z
5156314,Marc Mongenet,74847,14,36394331,2016-01-06T00:50:32Z
5156315,MFlamm,617875,6,22270254,2014-05-11T12:53:06Z
5156316,MFlamm,617875,11,22147841,2014-05-05T14:28:09Z
5156319,MFlamm,617875,6,22085808,2014-05-02T14:10:21Z
5156320,b_l,300892,2,9411876,2011-09-27T16:08:21Z
5156321,MFlamm,617875,9,22270254,2014-05-11T12:53:06Z
5156322,MFlamm,617875,6,22270254,2014-05-11T12:53:07Z
5170038,rene78,257555,7,20206878,2014-01-26T09:54:31Z
5170039,Marc Mongenet,74847,14,36307909,2016-01-01T22:42:17Z
5170129,MFlamm,617875,8,22147841,2014-05-05T14:28:14Z
5170131,x-pab,120583,6,12124963,2012-07-05T21:40:16Z
5170132,x-pab,120583,11,15138862,2013-02-23T17:50:52Z
5170142,MFlamm,617875,13,22209833,2014-05-08T13:59:23Z
5170143,Marc Mongenet,74847,15,36233488,2015-12-29T03:51:00Z
5170144,Marc Mongenet,74847,14,35992303,2015-12-16T16:28:17Z
5172438,Marc Mongenet,74847,5,17564411,2013-08-29T01:16:59Z
5172439,Marc Mongenet,74847,8,36230724,2015-12-28T22:19:46Z
5172441,x-pab,120583,4,13076182,2012-09-11T22:13:00Z
5172442,locneu,1886699,7,20023008,2014-01-15T21:26:08Z
5172443,oliviers,82717,6,9629484,2011-10-23T05:28:33Z
5172444,prston,707890,6,13281974,2012-09-28T09:02:59Z
5172445,MFlamm,617875,14,22089181,2014-05-02T16:43:31Z
5172447,MFlamm,617875,6,22089181,2014-05-02T16:43:32Z
5172448,MFlamm,617875,6,22089181,2014-05-02T16:43:28Z
5172449,prston,707890,8,13281974,2012-09-28T09:02:58Z
5172450,oliviers,82717,3,9629484,2011-10-23T05:28:32Z
5172803,Marc Mongenet,74847,10,36233408,2015-12-29T03:30:37Z
5172804,Marc Mongenet,74847,5,36233408,2015-12-29T03:30:40Z
5172805,Marc Mongenet,74847,7,36233408,2015-12-29T03:30:40Z
5172806,x-pab,120583,5,13102030,2012-09-13T22:55:20Z
5172807,Marc Mongenet,74847,11,36233335,2015-12-29T03:15:35Z
5172808,MFlamm,617875,5,22273317,2014-05-11T15:12:47Z
5172809,donovaly,1730904,6,18459959,2013-10-20T21:36:12Z
5172810,x-pab,120583,7,12615413,2012-08-04T23:33:09Z
5172811,prston,707890,5,13281974,2012-09-28T10:23:53Z
5172812,MFlamm,617875,4,22089181,2014-05-02T16:43:28Z
5172813,x-pab,120583,3,13102030,2012-09-13T22:55:23Z
5172814,MFlamm,617875,7,22089181,2014-05-02T16:43:28Z
5172815,MFlamm,617875,6,22081958,2014-05-02T11:01:49Z
5172816,Marc Mongenet,74847,2,6803777,2010-12-29T21:42:19Z
5172818,b_l,300892,4,8848349,2011-07-27T19:38:39Z
5172819,MFlamm,617875,7,22081958,2014-05-02T11:01:47Z
5172820,x-pab,120583,6,13089806,2012-09-12T22:03:36Z
5172822,x-pab,120583,7,15978235,2013-05-04T23:28:19Z
5172823,x-pab,120583,7,13076182,2012-09-11T22:12:59Z
5172825,Marc Mongenet,74847,7,36233335,2015-12-29T03:15:34Z
5172826,MFlamm,617875,7,22270254,2014-05-11T12:53:08Z
5172827,MFlamm,617875,9,22147841,2014-05-05T14:28:12Z
5172828,Marc Mongenet,74847,11,36233335,2015-12-29T03:15:33Z
5172829,MFlamm,617875,5,22271540,2014-05-11T13:53:37Z
5172832,x-pab,120583,5,6237568,2010-10-31T11:59:13Z
5172833,MFlamm,617875,2,22271540,2014-05-11T13:53:38Z
5172987,MFlamm,617875,4,22271540,2014-05-11T13:53:36Z
5172988,eeejul,3257973,8,37081509,2016-02-08T15:01:21Z
5172989,MFlamm,617875,4,22271540,2014-05-11T13:53:37Z
5172996,Marc Mongenet,74847,8,36233335,2015-12-29T03:15:30Z
5173089,MFlamm,617875,6,22209380,2014-05-08T13:32:36Z
5173092,Marc Mongenet,74847,9,36233488,2015-12-29T03:51:03Z
5173095,MFlamm,617875,8,22273317,2014-05-11T15:12:47Z
5173096,x-pab,120583,4,13063373,2012-09-10T22:32:51Z
5173098,MFlamm,617875,12,22209380,2014-05-08T13:32:38Z
5173099,MFlamm,617875,10,22209380,2014-05-08T13:32:37Z
5173100,x-pab,120583,6,15985658,2013-05-05T15:20:15Z
5173101,Marc Mongenet,74847,9,27035004,2014-11-26T00:31:42Z
5173102,jb_b,3781564,9,38399392,2016-04-08T07:53:19Z
5173103,MFlamm,617875,4,22147841,2014-05-05T14:28:17Z
5173104,donovaly,1730904,4,18214730,2013-10-06T15:50:34Z
5173105,b_l,300892,2,8143108,2011-05-14T16:58:14Z
5173106,x-pab,120583,3,14889774,2013-02-02T22:36:29Z
5173107,Marc Mongenet,74847,5,27034889,2014-11-26T00:24:15Z
5173108,Marc Mongenet,74847,7,36275360,2015-12-31T03:26:39Z
5173274,x-pab,120583,8,15138862,2013-02-23T17:50:53Z
5173276,Marc Mongenet,74847,9,27034847,2014-11-26T00:20:18Z
5173278,x-pab,120583,4,5986385,2010-10-08T14:17:32Z
5173403,Marc Mongenet,74847,16,32087305,2015-06-20T01:10:03Z
5173404,x-pab,120583,4,15632356,2013-04-06T21:05:32Z
5173405,inisheer,195875,4,11698238,2012-05-25T12:49:19Z
5173409,MFlamm,617875,8,21726181,2014-04-16T09:25:32Z
5173410,b_l,300892,3,9900985,2011-11-21T19:50:45Z
5173412,Marc Mongenet,74847,13,29767917,2015-03-27T01:13:31Z
5173413,MFlamm,617875,11,21726181,2014-04-16T09:25:32Z
5173414,MFlamm,617875,10,21726181,2014-04-16T09:25:31Z
5173415,mdk,178186,4,12910195,2012-08-29T20:19:46Z
5173490,MFlamm,617875,17,31230729,2015-05-17T15:32:37Z
5173491,MFlamm,617875,35,25941775,2014-10-08T15:37:17Z
5190749,MFlamm,617875,7,25940336,2014-10-08T14:24:45Z
5190750,MFlamm,617875,10,25943150,2014-10-08T16:38:14Z
5190751,MFlamm,617875,8,25943150,2014-10-08T16:38:18Z
5190752,BTH,481447,7,31648174,2015-06-01T21:00:21Z
5190753,MFlamm,617875,6,25943150,2014-10-08T16:38:20Z
5190754,Marc Mongenet,74847,6,36274817,2015-12-31T02:02:48Z
5190755,MFlamm,617875,4,25940336,2014-10-08T14:24:45Z
5190757,MFlamm,617875,5,25940336,2014-10-08T14:24:43Z
5190758,MFlamm,617875,5,25943150,2014-10-08T16:38:18Z
5190759,x-pab,120583,5,9562391,2011-10-15T10:50:42Z
5190760,MFlamm,617875,7,25940336,2014-10-08T14:24:46Z
5190761,x-pab,120583,4,12156265,2012-07-08T22:35:27Z
5190762,MFlamm,617875,5,25940336,2014-10-08T14:24:47Z
5190764,Marc Mongenet,74847,5,36233488,2015-12-29T03:51:03Z
5190765,MFlamm,617875,3,25940336,2014-10-08T14:24:46Z
5190766,MFlamm,617875,10,25940336,2014-10-08T14:24:47Z
5190767,donovaly,1730904,3,18205141,2013-10-06T00:56:52Z
5190768,MFlamm,617875,3,25943150,2014-10-08T16:38:19Z
5190770,MFlamm,617875,2,25943150,2014-10-08T16:38:18Z
5190771,MFlamm,617875,3,25943150,2014-10-08T16:38:20Z
5190772,MFlamm,617875,2,25943150,2014-10-08T16:38:19Z
5190773,Marc Mongenet,74847,7,36275219,2015-12-31T03:05:57Z
5190774,donovaly,1730904,4,18359062,2013-10-14T21:20:14Z
5190837,x-pab,120583,4,15718973,2013-04-13T23:45:50Z
5197271,x-pab,120583,6,15089360,2013-02-19T13:01:53Z
5197273,MFlamm,617875,7,22147841,2014-05-05T14:28:17Z
5197274,x-pab,120583,10,15138862,2013-02-23T17:50:53Z
5197275,MFlamm,617875,6,22147841,2014-05-05T14:28:16Z
5197276,MFlamm,617875,6,22147841,2014-05-05T14:28:16Z
5197277,x-pab,120583,5,15138862,2013-02-23T17:50:54Z
5197278,Marc Mongenet,74847,10,36394331,2016-01-06T00:50:32Z
5197279,Marc Mongenet,74847,10,36394331,2016-01-06T00:50:31Z
5197280,MFlamm,617875,9,22270254,2014-05-11T12:53:05Z
5197281,MFlamm,617875,7,22147841,2014-05-05T14:28:14Z
5197284,b_l,300892,8,6225990,2010-10-30T11:47:15Z
5209905,Marc Mongenet,74847,10,14520789,2013-01-04T00:16:15Z
5215040,x-pab,120583,6,13002703,2012-09-05T21:46:18Z
5215041,Marc Mongenet,74847,18,27034805,2014-11-26T00:16:19Z
5215045,x-pab,120583,4,16399159,2013-06-02T22:46:29Z
5215236,WJtW,2097920,44,40164276,2016-06-20T18:54:09Z
5228521,x-pab,120583,9,16564465,2013-06-15T15:32:11Z
5228532,MFlamm,617875,12,30742657,2015-05-03T09:48:57Z
